id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
1,Gan,1,06:02,18:09,13:47,90%,27°C,fine,NIL,S 07 mph,8:12,2019-09-09 00:00:10,2019-09-09 00:00:10
2,Gan,1,06:02,18:08,14:38,75%,31°C,cloudy,TRACE,S 10 mph,8:12,2019-09-09 12:00:04,2019-09-09 12:00:04
3,Gan,1,06:01,18:08,15:27,70%,31°C,fine,8.6 mm,ENE 07 mph,4:12,2019-09-10 12:00:05,2019-09-10 12:00:05
4,Gan,1,06:01,18:08,15:27,92%,26°C,fine,8.6 mm,CALM,11:0,2019-09-11 00:00:05,2019-09-11 00:00:05
5,Gan,1,06:00,18:07,16:59,87%,28°C,fine,NIL,ESE 06 mph,7:18,2019-09-12 00:00:05,2019-09-12 00:00:05
6,Gan,1,06:00,18:07,16:59,72%,31°C,fine,NIL,E 08 mph,7:18,2019-09-12 12:00:06,2019-09-12 12:00:06
7,Gan,1,06:00,18:07,16:59,83%,29°C,fine,NIL,E 07 mph,8:06,2019-09-13 00:00:06,2019-09-13 00:00:06
8,Gan,1,06:00,18:07,17:43,70%,31°C,fine,TRACE,ENE 08 mph,8:06,2019-09-13 12:00:11,2019-09-13 12:00:11
9,Gan,1,06:00,18:07,17:43,92%,25°C,partly cloudy,TRACE,VRB 01 mph,5:30,2019-09-14 00:00:06,2019-09-14 00:00:06
10,Gan,1,06:00,18:07,18:25,72%,31°C,fine,3.3 mm,E 07 mph,5:30,2019-09-14 12:00:05,2019-09-14 12:00:05
11,Gan,1,06:00,18:07,18:25,87%,27°C,fine,3.3 mm,SSE 07 mph,10:24,2019-09-15 00:00:06,2019-09-15 00:00:06
12,Gan,1,05:59,18:06,19:06,69%,32°C,fine,0.8 mm,SSE 10 mph,10:24,2019-09-15 12:00:05,2019-09-15 12:00:05
13,Gan,1,05:59,18:06,19:48,82%,28°C,fine,0.8 mm,SSE 08 mph,6:48,2019-09-16 00:00:05,2019-09-16 00:00:05
14,Gan,1,05:59,18:06,19:48,77%,30°C,cloudy,63.9 mm,S 06 mph,6:48,2019-09-16 12:00:06,2019-09-16 12:00:06
15,Gan,1,05:59,18:06,19:48,90%,27°C,partly cloudy,63.9 mm,SSE 03 mph,2:06,2019-09-17 00:00:05,2019-09-17 00:00:05
16,Gan,1,05:59,18:06,20:31,72%,31°C,fine,6.4 mm,SE 09 mph,2:06,2019-09-17 12:00:04,2019-09-17 12:00:04
17,Gan,1,05:59,18:06,20:31,89%,27°C,fine,6.4 mm,SSE 05 mph,8:36,2019-09-18 00:00:09,2019-09-18 00:00:09
18,Gan,1,05:58,18:05,22:01,71%,31°C,fine,NIL,W 13 mph,8:48,2019-09-19 12:00:11,2019-09-19 12:00:11
19,Gan,1,05:57,18:05,22:51,95%,26°C,slight rain,27.8 mm,W 16 mph,9:54,2019-09-20 12:00:05,2019-09-20 12:00:05
20,Gan,1,05:57,18:05,22:51,89%,26°C,cloudy,27.8 mm,WNW 11 mph,0:0,2019-09-21 00:00:10,2019-09-21 00:00:10
21,Gan,1,05:57,18:04,23:43,74%,29°C,cloudy,77.9 mm,W 22 mph,0:0,2019-09-21 12:00:11,2019-09-21 12:00:11
22,Gan,1,05:57,18:04,00:00,84%,26°C,cloudy,77.9 mm,WNW 16 mph,0:30,2019-09-22 00:00:06,2019-09-22 00:00:06
23,Gan,1,05:57,18:04,00:00,71%,31°C,cloudy,30.1 mm,WSW 15 mph,0:30,2019-09-22 12:00:05,2019-09-22 12:00:05
24,Gan,1,05:57,18:04,00:00,92%,25°C,slight shower,30.1 mm,NW 10 mph,9:12,2019-09-23 00:00:16,2019-09-23 00:00:16
25,Gan,1,05:56,18:04,00:39,88%,28°C,cloudy,30.1 mm,W 09 mph,9:12,2019-09-23 12:00:11,2019-09-23 12:00:11
26,Gan,1,05:56,18:04,00:39,85%,27°C,cloudy,30.1 mm,WSW 07 mph,0:0,2019-09-24 00:00:04,2019-09-24 00:00:04
27,Gan,1,05:56,18:03,01:37,84%,28°C,fine,19.1 mm,WSW 20 mph,0:0,2019-09-24 12:00:09,2019-09-24 12:00:09
28,Gan,1,05:56,18:03,01:37,79%,28°C,cloudy,19.1 mm,NW 06 mph,0:12,2019-09-25 00:00:06,2019-09-25 00:00:06
29,Gan,1,05:56,18:03,02:36,79%,29°C,cloudy,19.1 mm,S 08 mph,0:12,2019-09-25 12:00:05,2019-09-25 12:00:05
30,Gan,1,05:55,18:03,03:34,87%,27°C,fine,19.1 mm,ESE 09 mph,0:0,2019-09-26 00:00:04,2019-09-26 00:00:04
31,Gan,1,05:55,18:03,03:34,70%,30°C,fine,TRACE,E 08 mph,0:0,2019-09-26 12:00:05,2019-09-26 12:00:05
32,Gan,1,05:55,18:03,03:34,80%,29°C,slight shower,TRACE,SE 16 mph,3:30,2019-09-27 00:00:04,2019-09-27 00:00:04
33,Gan,1,05:55,18:02,04:32,70%,32°C,cloudy,TRACE,ESE 10 mph,3:30,2019-09-27 12:00:11,2019-09-27 12:00:11
34,Gan,1,05:55,18:02,04:32,80%,28°C,cloudy,TRACE,SE 09 mph,5:12,2019-09-28 00:00:04,2019-09-28 00:00:04
35,Gan,1,05:55,18:02,05:27,76%,29°C,cloudy,4.8 mm,E 10 mph,5:12,2019-09-28 12:00:11,2019-09-28 12:00:11
36,Gan,1,05:55,18:02,05:27,82%,25°C,cloudy,4.8 mm,ENE 08 mph,0:0,2019-09-29 00:00:09,2019-09-29 00:00:09
37,Gan,1,05:54,18:02,06:24,76%,30°C,cloudy,1.1 mm,E 09 mph,0:0,2019-09-29 12:00:06,2019-09-29 12:00:06
38,Gan,1,05:54,18:02,06:24,79%,27°C,fine,1.1 mm,E 07 mph,6:18,2019-09-30 00:00:04,2019-09-30 00:00:04
39,Gan,1,05:54,18:02,06:24,72%,30°C,partly cloudy,1.1 mm,S 09 mph,6:18,2019-09-30 12:00:10,2019-09-30 12:00:10
40,Gan,1,05:54,18:02,06:24,78%,29°C,cloudy,1.1 mm,S 09 mph,9:06,2019-10-01 00:00:06,2019-10-01 00:00:06
41,Gan,1,05:53,18:01,08:08,67%,31°C,fine,TRACE,ESE 12 mph,9:06,2019-10-01 12:00:03,2019-10-01 12:00:03
42,Gan,1,05:53,18:01,09:01,80%,28°C,partly cloudy,TRACE,SE 21 mph,6:36,2019-10-02 00:00:05,2019-10-02 00:00:05
43,Gan,1,05:53,18:01,09:01,69%,32°C,partly cloudy,TRACE,SE 17 mph,6:36,2019-10-02 12:00:11,2019-10-02 12:00:11
44,Gan,1,05:53,18:01,09:01,86%,28°C,thunder,TRACE,SE 10 mph,6:36,2019-10-03 00:00:04,2019-10-03 00:00:04
45,Gan,1,06:11,18:16,17:55,95%,26°C,slight shower,73.8 mm,ESE 10 mph,6:36,2019-10-03 12:00:09,2019-10-03 12:00:09
46,Gan,1,06:11,18:16,17:55,91%,26°C,thunder,73.8 mm,NW 05 mph,3:36,2019-10-04 00:00:04,2019-10-04 00:00:04
47,Gan,1,06:11,18:16,17:55,81%,29°C,fine,33.2 mm,ENE 05 mph,3:36,2019-10-04 12:00:10,2019-10-04 12:00:10
48,Gan,1,06:11,18:16,17:55,82%,27°C,partly cloudy,33.2 mm,NE 07 mph,7:18,2019-10-05 00:00:04,2019-10-05 00:00:04
49,Gan,1,05:52,18:00,11:41,70%,30°C,fine,TRACE,SSW 07 mph,7:18,2019-10-05 12:00:06,2019-10-05 12:00:06
50,Gan,1,05:52,18:00,11:41,90%,27°C,lightning,TRACE,CALM,9:12,2019-10-06 00:00:10,2019-10-06 00:00:10
51,Gan,1,05:52,18:00,12:33,82%,28°C,partly cloudy,4.7 mm,SE 17 mph,9:12,2019-10-06 12:00:10,2019-10-06 12:00:10
52,Gan,1,05:52,18:00,12:33,87%,27°C,slight shower,4.7 mm,ESE 06 mph,0:0,2019-10-07 00:00:10,2019-10-07 00:00:10
53,Gan,1,05:52,18:00,12:33,76%,29°C,partly cloudy,7.3 mm,SW 08 mph,0:0,2019-10-07 12:00:05,2019-10-07 12:00:05
54,Gan,1,05:51,17:59,14:11,83%,27°C,fine,7.3 mm,SE 11 mph,6:54,2019-10-08 00:00:05,2019-10-08 00:00:05
55,Gan,1,05:51,17:59,14:11,68%,30°C,fine,7.3 mm,SE 14 mph,6:54,2019-10-08 12:00:11,2019-10-08 12:00:11
56,Gan,1,05:51,17:59,14:11,87%,26°C,fine,7.3 mm,SSE 07 mph,11:0,2019-10-09 00:00:05,2019-10-09 00:00:05
57,Gan,1,05:51,17:59,14:57,74%,31°C,partly cloudy,NIL,SE 10 mph,11:0,2019-10-09 12:00:09,2019-10-09 12:00:09
58,Gan,1,05:51,17:59,14:57,87%,27°C,partly cloudy,NIL,SSE 12 mph,7:06,2019-10-10 00:00:04,2019-10-10 00:00:04
59,Gan,1,05:51,17:58,15:41,79%,30°C,cloudy,TRACE,SE 15 mph,7:06,2019-10-10 12:00:06,2019-10-10 12:00:06
60,Gan,1,05:50,17:58,16:24,82%,28°C,fine,TRACE,ESE 08 mph,4:54,2019-10-11 00:00:06,2019-10-11 00:00:06
61,Gan,1,05:50,17:58,16:24,70%,31°C,fine,NIL,SE 12 mph,4:54,2019-10-11 12:00:10,2019-10-11 12:00:10
62,Gan,1,05:50,17:58,17:05,90%,27°C,slight shower,NIL,ESE 15 mph,8:30,2019-10-12 00:00:05,2019-10-12 00:00:05
63,Gan,1,05:50,17:58,17:05,100%,24°C,modrate rain,110.9 mm,W 06 mph,8:30,2019-10-12 12:00:04,2019-10-12 12:00:04
64,Gan,1,05:52,18:00,12:33,89%,26°C,partly cloudy,110.9 mm,ESE 10 mph,0:0,2019-10-13 00:00:04,2019-10-13 00:00:04
65,Gan,1,05:50,17:58,17:47,77%,30°C,fine,55.6 mm,SE 13 mph,0:0,2019-10-13 12:00:08,2019-10-13 12:00:08
66,Gan,1,05:50,17:58,17:47,85%,28°C,fine,55.6 mm,E 07 mph,9:24,2019-10-14 00:00:10,2019-10-14 00:00:10
67,Gan,1,05:49,17:58,18:29,92%,26°C,slight rain,8.4 mm,E 03 mph,9:24,2019-10-14 12:00:06,2019-10-14 12:00:06
68,Gan,1,05:49,17:58,18:29,95%,26°C,cloudy,8.4 mm,ESE 07 mph,0:0,2019-10-15 00:00:06,2019-10-15 00:00:06
69,Gan,1,05:52,18:00,12:33,95%,26°C,fine,46.3 mm,CALM,0:30,2019-10-16 00:00:06,2019-10-16 00:00:06
