id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
1,Hanimadhoo,1,05:58,18:09,13:54,86%,29°C,fine,1.6 mm,W 06 mph,10:42,2019-09-09 00:00:06,2019-09-09 00:00:06
2,Hanimadhoo,1,05:58,18:09,14:45,75%,31°C,fine,NIL,WNW 08 mph,10:42,2019-09-09 12:00:05,2019-09-09 12:00:05
3,Hanimadhoo,1,05:58,18:09,14:45,84%,28°C,fine,NIL,W 06 mph,10:36,2019-09-10 00:00:04,2019-09-10 00:00:04
4,Hanimadhoo,1,05:58,18:08,15:33,72%,31°C,fine,2.3 mm,W 07 mph,10:36,2019-09-10 12:00:11,2019-09-10 12:00:11
5,Hanimadhoo,1,05:58,18:08,15:33,82%,29°C,fine,2.3 mm,W 08 mph,10:42,2019-09-11 00:00:06,2019-09-11 00:00:06
6,Hanimadhoo,1,05:58,18:08,16:19,70%,31°C,cloudy,NIL,W 07 mph,10:42,2019-09-11 12:00:11,2019-09-11 12:00:11
7,Hanimadhoo,1,05:58,18:08,16:19,88%,28°C,cloudy,NIL,W 08 mph,1:06,2019-09-12 00:00:10,2019-09-12 00:00:10
8,Hanimadhoo,1,05:58,18:07,17:03,80%,30°C,cloudy,0.6 mm,W 06 mph,1:06,2019-09-12 12:00:06,2019-09-12 12:00:06
9,Hanimadhoo,1,05:58,18:07,17:03,83%,29°C,cloudy,0.6 mm,WNW 06 mph,0:36,2019-09-13 00:00:10,2019-09-13 00:00:10
10,Hanimadhoo,1,05:57,18:07,17:45,78%,30°C,cloudy,NIL,NW 05 mph,0:36,2019-09-13 12:00:06,2019-09-13 12:00:06
11,Hanimadhoo,1,05:57,18:07,17:45,84%,28°C,partly cloudy,NIL,NW 05 mph,0:48,2019-09-14 00:00:04,2019-09-14 00:00:04
12,Hanimadhoo,1,05:57,18:06,18:26,75%,30°C,fine,0.5 mm,NNW 06 mph,0:48,2019-09-14 12:00:10,2019-09-14 12:00:10
13,Hanimadhoo,1,05:57,18:06,18:26,89%,27°C,cloudy,0.5 mm,CALM,10:54,2019-09-15 00:00:10,2019-09-15 00:00:10
14,Hanimadhoo,1,05:57,18:06,19:06,74%,31°C,fine,1.4 mm,W 05 mph,10:54,2019-09-15 12:00:05,2019-09-15 12:00:05
15,Hanimadhoo,1,05:57,18:06,19:06,82%,28°C,fine,1.4 mm,W 05 mph,6:54,2019-09-16 00:00:05,2019-09-16 00:00:05
16,Hanimadhoo,1,05:57,18:05,19:45,69%,32°C,fine,NIL,NW 06 mph,6:54,2019-09-16 12:00:05,2019-09-16 12:00:05
17,Hanimadhoo,1,05:56,18:05,20:26,67%,32°C,fine,NIL,NW 07 mph,6:54,2019-09-17 12:00:09,2019-09-17 12:00:09
18,Hanimadhoo,1,05:56,18:05,20:26,83%,29°C,fine,NIL,NW 06 mph,9:12,2019-09-18 00:00:04,2019-09-18 00:00:04
19,Hanimadhoo,1,05:56,18:05,21:09,78%,30°C,partly cloudy,0.4 mm,NW 06 mph,9:12,2019-09-18 12:00:06,2019-09-18 12:00:06
20,Hanimadhoo,1,05:56,18:05,21:09,80%,29°C,fine,0.4 mm,WNW 05 mph,8:42,2019-09-19 00:00:05,2019-09-19 00:00:05
