id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
1,Kaadehdhoo,0,06:03,18:11,12:06,94%,27°C,fine,NIL,CALM,-,2019-09-09 00:00:05,2019-09-09 00:00:05
2,Kaadehdhoo,0,06:03,18:11,12:06,77%,30°C,fine,5.0 mm,NE 05 mph,-,2019-09-09 12:00:04,2019-09-09 12:00:04
3,Kaadehdhoo,0,06:03,18:11,12:06,89%,27°C,partly cloudy,5.0 mm,NNW 09 mph,-,2019-09-10 00:00:06,2019-09-10 00:00:06
4,Kaadehdhoo,0,06:01,18:09,15:30,93%,26°C,fine,5.0 mm,CALM,-,2019-09-11 00:00:11,2019-09-11 00:00:11
5,Kaadehdhoo,0,06:01,18:09,15:30,72%,31°C,fine,NIL,ESE 05 mph,-,2019-09-11 12:00:05,2019-09-11 12:00:05
6,Kaadehdhoo,0,06:01,18:09,15:30,79%,29°C,fine,NIL,VARIABLE 02 mph,-,2019-09-12 00:00:05,2019-09-12 00:00:05
7,Kaadehdhoo,0,06:01,18:09,15:30,72%,31°C,fine,NIL,ESE 05 mph,-,2019-09-12 12:00:04,2019-09-12 12:00:04
8,Kaadehdhoo,0,06:01,18:09,15:30,79%,29°C,fine,NIL,E 03 mph,-,2019-09-13 00:00:04,2019-09-13 00:00:04
9,Kaadehdhoo,0,06:00,18:08,17:44,77%,31°C,partly cloudy,TRACE,ENE 06 mph,-,2019-09-13 12:00:06,2019-09-13 12:00:06
10,Kaadehdhoo,0,06:00,18:08,17:44,95%,25°C,fine,TRACE,S 06 mph,-,2019-09-14 00:00:06,2019-09-14 00:00:06
11,Kaadehdhoo,0,06:00,18:08,17:44,76%,30°C,fine,11.7 mm,E 05 mph,-,2019-09-14 12:00:05,2019-09-14 12:00:05
12,Kaadehdhoo,0,06:00,18:08,17:44,79%,29°C,fine,11.7 mm,SE 05 mph,-,2019-09-15 00:00:05,2019-09-15 00:00:05
