id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
1,Kahdhoo,0,05:59,18:08,14:41,78%,28°C,slight shower,28.9 mm,SW 03 mph,-,2019-09-09 03:02:11,2019-09-09 03:02:11
2,Kahdhoo,0,05:59,18:08,14:41,72%,31°C,fine,1.8 mm,WNW 06 mph,-,2019-09-09 12:00:05,2019-09-09 12:00:05
3,Kahdhoo,0,05:59,18:08,14:41,82%,29°C,fine,1.8 mm,W 06 mph,-,2019-09-10 00:00:10,2019-09-10 00:00:10
4,Kahdhoo,0,05:59,18:07,15:29,71%,31°C,fine,1.6 mm,W 03 mph,-,2019-09-10 12:00:05,2019-09-10 12:00:05
5,Kahdhoo,0,05:58,18:07,16:16,89%,27°C,fine,1.6 mm,VARIABLE 02 mph,-,2019-09-11 00:00:11,2019-09-11 00:00:11
6,Kahdhoo,0,05:58,18:07,16:16,75%,30°C,fine,NIL,SSE 05 mph,-,2019-09-11 12:00:06,2019-09-11 12:00:06
7,Kahdhoo,0,05:58,18:07,17:01,80%,28°C,fine,NIL,VARIABLE 02 mph,-,2019-09-12 00:00:04,2019-09-12 00:00:04
8,Kahdhoo,0,05:58,18:07,17:01,72%,31°C,fine,NIL,E 06 mph,-,2019-09-12 12:00:07,2019-09-12 12:00:07
9,Kahdhoo,0,05:58,18:06,17:43,85%,28°C,fine,NIL,VARIABLE 02 mph,-,2019-09-13 00:00:06,2019-09-13 00:00:06
10,Kahdhoo,0,05:58,18:06,17:43,70%,31°C,fine,NIL,NE 07 mph,-,2019-09-13 12:00:10,2019-09-13 12:00:10
11,Kahdhoo,0,05:58,18:06,17:43,85%,28°C,lightning,NIL,VARIABLE 02 mph,-,2019-09-14 00:00:06,2019-09-14 00:00:06
12,Kahdhoo,0,05:58,18:06,18:25,69%,31°C,fine,6.1 mm,ENE 06 mph,-,2019-09-14 12:00:11,2019-09-14 12:00:11
13,Kahdhoo,0,05:58,18:06,18:25,78%,29°C,fine,6.1 mm,VARIABLE 02 mph,-,2019-09-15 00:00:05,2019-09-15 00:00:05
14,Kahdhoo,0,05:57,18:05,19:05,73%,31°C,fine,NIL,SSE 06 mph,-,2019-09-15 12:00:10,2019-09-15 12:00:10
15,Kahdhoo,0,05:57,18:05,19:05,82%,29°C,fine,NIL,SSE 03 mph,-,2019-09-16 00:00:04,2019-09-16 00:00:04
16,Kahdhoo,0,05:57,18:05,19:46,75%,30°C,cloudy,0.1 mm,SE 05 mph,-,2019-09-16 12:00:04,2019-09-16 12:00:04
17,Kahdhoo,0,05:57,18:05,20:28,85%,27°C,fine,0.1 mm,VARIABLE 02t mph,-,2019-09-17 00:00:06,2019-09-17 00:00:06
18,Kahdhoo,0,05:57,18:05,20:28,78%,30°C,fine,0.1 mm,VARIABLE 02 mph,-,2019-09-17 12:00:05,2019-09-17 12:00:05
19,Kahdhoo,0,05:56,18:04,21:11,92%,27°C,fine,0.1 mm,CALM,-,2019-09-18 00:00:10,2019-09-18 00:00:10
